R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
4.3622689,143.332737,178.132474,193.845813,209.559151,212.44695,0.456000451,0.078670011,0.21741076,0.247918778,204.055181,152.089277,186.34849,194.892564
4.3758174,143.230258,178.097012,193.846924,209.596837,212.486029,0.455951483,0.078759634,0.21751252,0.247776363,204.092716,151.980537,186.36428,194.869484
4.3894081,143.12536,178.059408,193.846158,209.632907,212.523415,0.455900934,0.0788497833,0.217614686,0.247634596,204.128625,151.869231,186.378417,194.844302
4.4030409,143.018022,178.019642,193.843494,209.667346,212.559089,0.455848803,0.0789404599,0.21771726,0.247493478,204.16289,151.755335,186.390883,194.817
4.4167161,142.908214,177.977692,193.838916,209.70014,212.593038,0.455795087,0.079031667,0.217820242,0.247353004,204.195498,151.638819,186.401665,194.787555
4.4304338,142.795913,177.933536,193.832406,209.731276,212.625245,0.455739786,0.0791234071,0.217923634,0.247213173,204.226433,151.519657,186.410747,194.755949
4.444194,142.681093,177.887151,193.823944,209.760738,212.655694,0.455682899,0.0792156814,0.218027435,0.247073985,204.255679,151.397823,186.418111,194.72216
4.457997,142.563726,177.838515,193.813514,209.788512,212.68437,0.455624424,0.0793084936,0.218131647,0.246935435,204.283222,151.273285,186.423744,194.686168
4.4718429,142.443785,177.787606,193.801094,209.814583,212.711253,0.455564361,0.0794018459,0.21823627,0.246797523,204.309044,151.146017,186.427628,194.647952
4.4857317,142.321244,177.734399,193.786668,209.838937,212.736331,0.455502708,0.0794957396,0.218341304,0.246660248,204.333131,151.01599,186.429746,194.60749
4.4996638,142.196073,177.678872,193.770215,209.861559,212.759586,0.455439464,0.0795901791,0.218446752,0.246523605,204.355467,150.883172,186.430084,194.56476
4.513639,142.117551,177.635529,193.725228,209.814928,212.684149,0.455374629,0.0796851645,0.218552612,0.246387595,204.28301,150.799853,186.452595,194.545979
4.5276577,142.038101,177.590319,193.677288,209.764257,212.60352,0.455308202,0.0797806999,0.218658885,0.246252213,204.205566,150.715549,186.474108,194.525791
4.5417199,141.95649,177.542861,193.627024,209.711188,212.520052,0.45524018,0.079876787,0.218765573,0.246117459,204.125395,150.628952,186.494017,194.503533
4.5558258,141.872696,177.493131,193.574415,209.655698,212.433716,0.455170564,0.0799734285,0.218872676,0.245983331,204.042469,150.540039,186.512309,194.479185
4.5699756,141.786697,177.441106,193.519438,209.597769,212.344484,0.455099353,0.0800706273,0.218980195,0.245849825,203.956762,150.448786,186.528968,194.452727
4.5841692,141.698472,177.386763,193.462071,209.537379,212.252328,0.455026546,0.0801683842,0.219088128,0.245716942,203.868246,150.355171,186.54398,194.424139
4.598407,141.607995,177.330075,193.402292,209.474508,212.157218,0.454952141,0.0802667036,0.219196478,0.245584677,203.776893,150.259167,186.557328,194.393401
4.6126889,141.515246,177.27102,193.340078,209.409136,212.059126,0.45487614,0.0803655861,0.219305244,0.24545303,203.682676,150.160751,186.568998,194.360493
4.6270152,141.420199,177.209571,193.275405,209.341239,211.958021,0.45479854,0.0804650353,0.219414427,0.245321997,203.585565,150.059898,186.578974,194.325393
4.641386,141.322834,177.145703,193.20825,209.270797,211.853873,0.454719342,0.0805650534,0.219524027,0.245191577,203.485531,149.956584,186.58724,194.288081
4.6558015,141.223122,177.07939,193.13859,209.197789,211.746652,0.454638544,0.0806656434,0.219634046,0.245061767,203.382545,149.850781,186.59378,194.248535
4.6702617,141.121043,177.010607,193.066401,209.122195,211.636328,0.454556146,0.0807668066,0.219744482,0.244932566,203.276579,149.742465,186.598579,194.206735
4.6847668,141.016569,176.939326,192.991658,209.04399,211.522869,0.454472147,0.0808685459,0.219855336,0.244803971,203.167601,149.631609,186.601619,194.162658
4.699317,140.909677,176.865521,192.914336,208.963151,211.406241,0.454386548,0.0809708643,0.219966609,0.244675979,203.05558,149.518187,186.602885,194.116282
4.7139124,140.800342,176.789163,192.834412,208.87966,211.286415,0.454299347,0.0810737639,0.220078301,0.244548588,202.940487,149.402172,186.60236,194.067586
4.7285531,140.688536,176.710227,192.75186,208.793492,211.163358,0.454210545,0.0811772468,0.220190411,0.244421797,202.822291,149.283536,186.600028,194.016547
4.7432393,140.574236,176.628683,192.666654,208.704625,211.037036,0.45412014,0.0812813159,0.220302941,0.244295603,202.700959,149.162253,186.595871,193.963143
4.7579711,140.484205,176.562813,192.595283,208.627752,210.925695,0.454028133,0.0813859735,0.22041589,0.244170003,202.594016,149.066722,186.602269,193.921668
4.7727486,140.414793,176.510136,192.535475,208.560813,210.82682,0.453934525,0.0814912216,0.220529258,0.244044996,202.499047,148.993069,186.617503,193.890144
4.787572,140.34334,176.455164,192.473252,208.49134,210.724937,0.453839313,0.0815970631,0.220643045,0.243920579,202.401188,148.917251,186.631075,193.856447
4.8024415,140.269825,176.397872,192.408591,208.419311,210.620014,0.453742498,0.0817035009,0.220757252,0.243796749,202.30041,148.839245,186.64297,193.820556
4.8173572,140.194229,176.338235,192.34147,208.344704,210.512022,0.453644081,0.0818105371,0.220871878,0.243673503,202.196683,148.75903,186.653173,193.782449
4.8323192,140.116529,176.27623,192.271865,208.267499,210.400929,0.453544061,0.0819181739,0.220986924,0.243550841,202.089979,148.676583,186.661667,193.742107
4.8473276,140.036704,176.211831,192.199752,208.187673,210.286705,0.453442438,0.0820264135,0.221102389,0.243428759,201.980267,148.591882,186.668437,193.699506
4.8623827,139.954734,176.145013,192.125107,208.105202,210.169318,0.453339212,0.0821352593,0.221218274,0.243307255,201.867516,148.504904,186.673467,193.654626
4.8774845,139.870596,176.075749,192.047907,208.020064,210.048734,0.453234384,0.0822447128,0.221334577,0.243186326,201.751696,148.415626,186.676739,193.607445
4.8926333,139.784268,176.004014,191.968126,207.932238,209.924924,0.453127953,0.0823547776,0.2214513,0.243065969,201.632776,148.324024,186.678239,193.55794
4.907829,139.695728,175.929782,191.885741,207.8417,209.797853,0.453019921,0.0824654543,0.22156844,0.242946184,201.510724,148.230075,186.67795,193.506089
