draw_id,draw_label,s
1,b1,1.5052001
2,b2,1.4742824
3,b3,1.5366055
4,b4,1.553991
5,b5,1.5519859
6,b6,1.5669276
7,b7,1.4956584
8,b8,1.6353623
9,b9,1.5880383
10,b10,1.6270762
11,b11,1.495667
12,b12,1.6553928
13,b13,1.5726246
14,b14,1.6895746
15,b15,1.6961019
16,b16,1.6040809
17,b17,1.7048442
18,b18,1.6547043
19,b19,1.7529433
20,b20,1.7128199
21,b21,1.6907605
22,b22,1.7163312
23,b23,1.7862478
24,b24,1.7014839
25,b25,1.6927006
26,b26,1.7644919
27,b27,1.7640887
28,b28,1.7542154
29,b29,1.8211497
30,b30,1.7579387
31,b31,1.8359048
32,b32,1.8395753
33,b33,1.8884497
34,b34,1.7526832
35,b35,1.7675448
36,b36,1.854158
37,b37,1.8854006
38,b38,1.8489401
39,b39,1.7798367
40,b40,1.9239781
41,b41,1.9051374
42,b42,1.8733063
43,b43,1.8594916
44,b44,1.9060352
45,b45,1.9145982
46,b46,1.9770971
47,b47,1.9956164
48,b48,2.0096875
49,b49,2.033629
50,b50,1.9040354
51,b51,2.0571489
52,b52,2.1061923
53,b53,1.9990101
54,b54,2.1008922
55,b55,2.1169494
56,b56,2.0514044
57,b57,2.1363903
58,b58,2.0200503
59,b59,2.0693475
60,b60,2.1228019
61,b61,2.0495264
62,b62,2.2025192
63,b63,2.2081605
64,b64,2.0806308
65,b65,2.214283
66,b66,2.290155
67,b67,2.1550289
68,b68,2.2069498
69,b69,2.2968783
70,b70,2.3271178
71,b71,2.21781
72,b72,2.3116963
73,b73,2.3038543
74,b74,2.3965868
75,b75,2.2396955
76,b76,2.3565962
77,b77,2.4449938
78,b78,2.311066
79,b79,2.3579822
80,b80,2.3353938
81,b81,2.406305
82,b82,2.376977
83,b83,2.3530298
84,b84,2.28328
85,b85,2.4883378
86,b86,2.4548671
87,b87,2.3355039
88,b88,2.5671875
89,b89,2.3917991
90,b90,2.4237184
91,b91,2.4194025
92,b92,2.5565132
93,b93,2.4555683
94,b94,2.516912
95,b95,2.4640652
96,b96,2.4018422
97,b97,2.6107275
98,b98,2.4473999
99,b99,2.6144431
100,b100,2.6256967
