draw_id,draw_label,alpha,mu
1,b1,2.2151203,0.29777547
2,b2,2.3761517,0.29790439
3,b3,1.9927605,0.33768942
4,b4,1.9182729,0.35013399
5,b5,2.2981594,0.27036158
6,b6,2.0385975,0.32055313
7,b7,1.9057652,0.38618071
8,b8,2.1188113,0.28625527
9,b9,2.3089219,0.25922493
10,b10,2.1333978,0.28169897
11,b11,2.1016404,0.34273946
12,b12,2.0955289,0.27597914
13,b13,2.1035493,0.30501324
14,b14,2.0968267,0.26391845
15,b15,2.0392203,0.26998093
16,b16,2.0859342,0.29891474
17,b17,2.0001818,0.27486521
18,b18,1.926141,0.31001172
19,b19,1.879171,0.28308315
20,b20,1.8904941,0.29998111
21,b21,1.9516719,0.29375762
22,b22,2.0131353,0.2690698
23,b23,1.9600714,0.25924145
24,b24,1.8509988,0.31740853
25,b25,2.1239414,0.25598713
26,b26,1.7838826,0.30730164
27,b27,1.9369859,0.2631332
28,b28,1.950053,0.26668656
29,b29,1.7561547,0.29157921
30,b30,1.781569,0.3122214
31,b31,1.7438273,0.27874474
32,b32,1.8397699,0.26005256
33,b33,1.7172123,0.27170764
34,b34,1.8414462,0.28960614
35,b35,1.9401995,0.26560938
36,b36,1.9261613,0.24232913
37,b37,1.8585138,0.24686438
38,b38,1.8115088,0.25936592
39,b39,1.7566444,0.29671266
40,b40,1.67112,0.2704955
41,b41,1.6610285,0.2733079
42,b42,1.6776211,0.28324644
43,b43,1.7337651,0.27830501
44,b44,1.53874,0.31111631
45,b45,1.6250566,0.28030471
46,b46,1.6518465,0.2572005
47,b47,1.62052,0.26049099
48,b48,1.8128224,0.22016083
49,b49,1.7691373,0.21799829
50,b50,1.687528,0.26716535
51,b51,1.6396089,0.23584986
52,b52,1.5820448,0.23470857
53,b53,1.6393394,0.24525084
54,b54,1.5427826,0.23993674
55,b55,1.6178319,0.22383447
56,b56,1.5122458,0.2667853
57,b57,1.4922249,0.24762545
58,b58,1.6910346,0.23284002
59,b59,1.6615,0.22864423
60,b60,1.5077908,0.24945234
61,b61,1.5439386,0.25347173
62,b62,1.3488195,0.26127195
63,b63,1.418164,0.24115087
64,b64,1.6085548,0.23001515
65,b65,1.5411503,0.21888545
66,b66,1.4683383,0.21448254
67,b67,1.5036246,0.24121795
68,b68,1.5083942,0.22035131
69,b69,1.4275943,0.21734839
70,b70,1.3923272,0.22278036
71,b71,1.4595468,0.23110399
72,b72,1.5015366,0.20052368
73,b73,1.4542073,0.21193758
74,b74,1.4296838,0.2038344
75,b75,1.3625294,0.24411652
76,b76,1.4840945,0.20251606
77,b77,1.3515664,0.20725289
78,b78,1.3003602,0.24305956
79,b79,1.2500419,0.2471409
80,b80,1.4482763,0.21433096
81,b81,1.39984,0.20971104
82,b82,1.3567951,0.22420728
83,b83,1.3693569,0.2250747
84,b84,1.3794305,0.23354159
85,b85,1.4584721,0.18093353
86,b86,1.4160814,0.19282519
87,b87,1.3068326,0.24131447
88,b88,1.2411048,0.20693001
89,b89,1.4089733,0.21003086
90,b90,1.3828373,0.20606855
91,b91,1.3519425,0.20984611
92,b92,1.181193,0.22569713
93,b93,1.2590479,0.22987626
94,b94,1.2476575,0.21810507
95,b95,1.3936987,0.19435223
96,b96,1.4227952,0.20474848
97,b97,1.3150312,0.1845152
98,b98,1.3060533,0.21088985
99,b99,1.181824,0.20940429
100,b100,1.2004006,0.20802802
