type,dataset,source_paper,tracer,method,R_kpc,z_kpc,vc_kms,sigma_vc_kms,Phi_kms2,sigma_Phi_kms2,sigma_z_kpc,in_chi2_fit
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,15.21,,237,2.22,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,15.88,,231.03,1.95,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,17.58,,224.03,1.91,,,,True
radial,Watkins2019_M39p5,Watkins et al. 2019,globular clusters,enclosed mass converted to circular speed,39.5,,213.849,16.5478,,,,True
radial,Deason2021_M100,Deason et al. 2021,halo stars,enclosed mass converted to circular speed,100,,161.575,16.5604,,,,True
radial,Bird2022_KG_Jeans_M73,Bird et al. 2022,K giants,Jeans M(<R),73,,159.167,20.7956,,,,True
radial,Bird2022_BHB_Jeans_M52,Bird et al. 2022,BHB stars,Jeans M(<R),52,,184.15,30.1296,,,,True
radial,Bird2022_KG_TME_M73,Bird et al. 2022,K giants,TME M(<R),73,,159.167,23.1902,,,,True
radial,Bird2022_BHB_TME_M52,Bird et al. 2022,BHB stars,TME M(<R),52,,172.556,40.1745,,,,True
radial,Bird2022_KG_Jeans_M200,Bird et al. 2022,K giants,Jeans M200 converted at r200,173,,116.933,17.0133,,,,False
radial,Bird2022_BHB_Jeans_M200,Bird et al. 2022,BHB stars,Jeans M200 converted at r200,211,,142.771,39.5899,,,,False
radial,Bird2022_KG_TME_M200,Bird et al. 2022,K giants,TME M200 converted at r200,162,,110.51,5.26861,,,,False
radial,Bird2022_BHB_TME_M200,Bird et al. 2022,BHB stars,TME M200 converted at r200,185,,124.805,17.2784,,,,False
radial,Bird2022_digitized_KG_Jeans_R11,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 Jeans,11,,213,19,,,,False
radial,Bird2022_digitized_KG_Jeans_R19,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 Jeans,19,,207,17,,,,False
radial,Bird2022_digitized_KG_Jeans_R29,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 Jeans,29,,201,15,,,,False
radial,Bird2022_digitized_KG_Jeans_R39,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 Jeans,39,,195,18,,,,False
radial,Bird2022_digitized_KG_Jeans_R49,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 Jeans,49,,171,20,,,,False
radial,Bird2022_digitized_KG_Jeans_R59,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 Jeans,59,,159,19,,,,False
radial,Bird2022_digitized_KG_Jeans_R73,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 Jeans,73,,157,19,,,,False
radial,Bird2022_digitized_KG_TME_R9,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 TME,9,,240,14,,,,False
radial,Bird2022_digitized_KG_TME_R19,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 TME,19,,218,15,,,,False
radial,Bird2022_digitized_KG_TME_R29,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 TME,29,,199,17,,,,False
radial,Bird2022_digitized_KG_TME_R39,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 TME,39,,180,18,,,,False
radial,Bird2022_digitized_KG_TME_R49,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 TME,49,,147,15,,,,False
radial,Bird2022_digitized_KG_TME_R59,Bird et al. 2022 Fig. 6,K giants,digitized Fig. 6 TME,59,,134,16,,,,False
radial,Bird2022_digitized_BHB_Jeans_R6,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,6,,218,25,,,,False
radial,Bird2022_digitized_BHB_Jeans_R8,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,8,,217,29,,,,False
radial,Bird2022_digitized_BHB_Jeans_R11,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,11,,212,24,,,,False
radial,Bird2022_digitized_BHB_Jeans_R16,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,16,,204,20,,,,False
radial,Bird2022_digitized_BHB_Jeans_R22,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,22,,198,19,,,,False
radial,Bird2022_digitized_BHB_Jeans_R33,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,33,,178,25,,,,False
radial,Bird2022_digitized_BHB_Jeans_R38,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,38,,214,26,,,,False
radial,Bird2022_digitized_BHB_Jeans_R46,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,46,,188,22,,,,False
radial,Bird2022_digitized_BHB_Jeans_R52,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 Jeans,52,,181,48,,,,False
radial,Bird2022_digitized_BHB_TME_R6,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 TME,6,,236,20,,,,False
radial,Bird2022_digitized_BHB_TME_R8,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 TME,8,,240,19,,,,False
radial,Bird2022_digitized_BHB_TME_R10,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 TME,10,,238,18,,,,False
radial,Bird2022_digitized_BHB_TME_R16,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 TME,16,,222,16,,,,False
radial,Bird2022_digitized_BHB_TME_R22,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 TME,22,,213,24,,,,False
radial,Bird2022_digitized_BHB_TME_R27,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 TME,27,,211,16,,,,False
radial,Bird2022_digitized_BHB_TME_R38,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 TME,38,,218,24,,,,False
radial,Bird2022_digitized_BHB_TME_R52,Bird et al. 2022 Fig. 6,BHB stars,digitized Fig. 6 TME,52,,171,38,,,,False
radial,Wang2020_Kafle2012_M60,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,60,,169.33,14.8164,,,,False
radial,Wang2020_Kafle2012_M80,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,80,,192.602,29.309,,,,False
radial,Wang2020_Kafle2012_M100,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,100,,172.268,23.7181,,,,False
radial,Wang2020_Kafle2012_M200,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,200,,146.644,16.8641,,,,False
radial,Wang2020_Kafle2012_M300,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,300,,142.177,15.6294,,,,False
radial,Wang2020_Zhai2018_M120,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,120,,139.119,21.8984,,,,False
radial,Wang2020_Bhattacharjee2014_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,196.744,54.6511,,,,False
radial,Wang2020_Bhattacharjee2014_M100,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,100,,169.753,57.6401,,,,False
radial,Wang2020_Deason2012b_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,203.196,33.8661,,,,False
radial,Wang2020_Deason2012b_M100,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,100,,186.648,48.3902,,,,False
radial,Wang2020_Huang2016_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,198.918,6.48646,,,,False
radial,Wang2020_Huang2016_M100,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,100,,184.329,8.16648,,,,False
radial,Wang2020_Huang2016_M200,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,200,,160.641,10.0401,,,,False
radial,Wang2020_Deason2012_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,263.96,22.8114,,,,False
radial,Wang2020_Deason2012_M100,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,100,,268.002,36.9105,,,,False
radial,Wang2020_Deason2012_M200,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,200,,253.996,48.6825,,,,False
radial,Wang2020_Watkins2010_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,215.522,37.916,,,,False
radial,Wang2020_Sakamoto2003_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,190.073,9.05109,,,,False
radial,Wang2020_Eadie2015_M260,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,260,,150.541,6.59303,,,,False
radial,Wang2020_Eadie2016_M125,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,125,,134.017,5.3915,,,,False
radial,Wang2020_Eadie2017_M125,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,125,,147.23,12.8534,,,,False
radial,Wang2020_WilliamsEvans2015_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,209.45,24.6412,,,,False
radial,Wang2020_EadieJuric2019_M25,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,25,,211.494,32.5375,,,,False
radial,Wang2020_EadieJuric2019_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,178.401,26.519,,,,False
radial,Wang2020_EadieJuric2019_M100,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,100,,150.98,23.5016,,,,False
radial,Wang2020_Vasiliev2019_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,215.522,18.958,,,,False
radial,Wang2020_Vasiliev2019_M100,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,100,,191.201,29.8049,,,,False
radial,Wang2020_Newberg2010_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,157.941,13.6156,,,,False
radial,Wang2020_Newberg2010_M100,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,100,,132.792,11.3359,,,,False
radial,Wang2020_Hendel2018_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,180.795,2.97361,,,,False
radial,Wang2020_Erkal2019_M50,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,50,,183.159,27.0042,,,,False
radial,Wang2020_Fritz2020_M64,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,64,,197.426,24.6783,,,,False
radial,Wang2020_Fritz2020_M273,Wang et al. 2020 Table A1,heterogeneous literature compilation,enclosed mass converted to circular speed,273,,150.095,17.5811,,,,False
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,7.79,0.3,,,180.5,28.5,0.019,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,7.79,0.421,,,311.8,26.5,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,7.79,0.516,,,478.8,46.4,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,7.79,0.621,,,568.9,35.8,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,7.79,0.726,,,666.7,54.8,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,7.79,0.84,,,908.8,45.2,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,7.79,0.944,,,1188.3,73.1,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,7.79,1.054,,,1269.3,53.4,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.17,0.292,,,160.3,26.9,0.019,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.17,0.414,,,288.5,25.5,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.17,0.524,,,454.2,45.2,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.17,0.645,,,568.8,35.8,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.17,0.718,,,696.2,56.0,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.17,0.795,,,876.6,44.4,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.17,0.921,,,1077.7,69.6,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.17,1.055,,,1294.8,54.0,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.66,0.289,,,152.9,18.5,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.66,0.379,,,240.6,32.9,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.66,0.481,,,365.2,28.7,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.66,0.586,,,515.6,48.2,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,8.66,0.702,,,653.6,38.3,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.14,0.309,,,143.3,18.0,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.14,0.387,,,249.9,33.5,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.14,0.474,,,360.6,28.5,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.14,0.583,,,491.6,47.0,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.14,0.704,,,638.0,37.9,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.14,0.791,,,803.4,60.1,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.54,0.367,,,222.2,31.6,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.54,0.42,,,298.3,25.9,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.54,0.539,,,385.6,41.7,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.54,0.673,,,540.3,34.9,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.88,0.283,,,133.8,24.5,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.88,0.35,,,186.5,20.5,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.88,0.488,,,248.0,33.4,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,9.88,0.649,,,450.7,31.8,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.24,0.32,,,135.0,17.4,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.24,0.444,,,195.9,29.7,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.24,0.587,,,430.4,31.1,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.64,0.304,,,118.9,16.4,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.64,0.425,,,177.6,28.3,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.64,0.566,,,385.6,29.5,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.95,0.296,,,108.9,15.7,0.025,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.95,0.415,,,156.8,26.6,0.018,True
vertical,Wang2026_vertical,Wang et al. 2026,Gaia phase-space spiral,vertical oscillation frequency,10.95,0.553,,,333.2,27.4,0.025,True
