type,dataset,source_paper,tracer,method,R_kpc,z_kpc,vc_kms,sigma_vc_kms,Phi_kms2,sigma_Phi_kms2,sigma_z_kpc,in_chi2_fit
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=20,4.42407,,233.508,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=20,4.57745,,237.207,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=20,4.7285,,232.303,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=20,4.87711,,233.11,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=21,5.02678,,237.147,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=21,5.17733,,235.617,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=21,5.32492,,232.317,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=22,5.47289,,233.323,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=23,5.62424,,235.303,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=23,5.77519,,237.019,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=24,5.92536,,240.479,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=24,6.07437,,244.209,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=26,6.22478,,247.69,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=26,6.37592,,250.967,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=27,6.52425,,249.433,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=29,6.67454,,240.803,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=30,6.82561,,241.654,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=32,6.97609,,242.629,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=34,7.12681,,242.411,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=36,7.27574,,241.149,3,,,,True
radial,McClureDickey2016_Q1_terminal,McClure-Griffiths & Dickey 2016,H I terminal velocities,binned terminal curve; n=34,7.41329,,237.613,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=4,2.83177,,216.847,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=17,2.92451,,217.007,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=17,3.07381,,215.834,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=18,3.22623,,222.011,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=17,3.37733,,222.857,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=18,3.52702,,220.386,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=17,3.67526,,219.412,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=18,3.82195,,220.074,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=19,3.97531,,224.362,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=18,4.12684,,230.347,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=19,4.27645,,232.484,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=19,4.42803,,227.489,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=19,4.57746,,226.412,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=19,4.72465,,227.503,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=20,4.8733,,229.275,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=20,5.02317,,229.001,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=19,5.17125,,227.511,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=21,5.32536,,225.762,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=21,5.47359,,223.174,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=22,5.62196,,227.583,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=23,5.77345,,231.805,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=23,5.92424,,234.644,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=18,6.08223,,239.751,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=25,6.22509,,243.522,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=26,6.37709,,244.67,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=24,6.52162,,239.786,3.41846,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=27,6.67678,,241.434,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=29,6.82459,,246.53,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=31,6.97405,,246.232,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=33,7.12409,,248.123,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=36,7.27476,,248.877,3.04372,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=39,7.42523,,247.127,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=42,7.57292,,246.031,3,,,,True
radial,McClureDickey2007_Q4_terminal,McClure-Griffiths & Dickey 2007,H I terminal velocities,binned terminal curve; n=10,7.66419,,245.747,3,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,5.27,,226.83,5.26249,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,5.27,,224.07,5.26249,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,5.74,,230.8,5.05919,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,5.74,,234.544,5.05919,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,6.23,,231.2,4.80025,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,6.23,,241.988,4.80025,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,6.73,,229.88,3.64635,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,6.73,,237.844,3.64635,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,7.22,,229.61,4.80722,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,7.22,,247.547,4.80722,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,7.82,,229.91,3.15389,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,7.82,,238.075,3.15389,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,8.19,,228.86,1.70356,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,8.19,,230.494,1.70356,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,8.78,,226.5,2.2542,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,8.78,,231.252,2.2542,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,9.27,,226.2,0.72,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,9.27,,232.204,0.72,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,9.76,,225.94,0.42,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,9.76,,231.763,0.42,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,10.26,,225.68,0.44,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,10.26,,230.824,0.44,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,10.75,,224.73,0.38,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,10.75,,229.258,0.38,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,11.25,,224.02,0.33,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,11.25,,227.103,0.33,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,11.75,,223.86,0.4,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,11.75,,226.952,0.4,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,12.25,,222.23,0.51,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,12.25,,225.318,0.51,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,12.74,,220.77,0.54,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,12.74,,223.86,0.54,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,13.23,,220.92,0.57,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,13.23,,224.035,0.57,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,13.74,,217.47,0.64,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,13.74,,220.572,0.64,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,14.24,,217.31,0.77,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,14.24,,220.441,0.77,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,14.74,,217.6,0.65,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,14.74,,220.768,0.65,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,15.22,,217.07,1.06,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,15.22,,220.266,1.06,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,15.74,,217.38,0.84,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,15.74,,220.62,0.84,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,16.24,,216.14,1.2,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,16.24,,219.406,1.2,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,16.74,,212.52,1.39,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,16.74,,215.787,1.39,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,17.25,,216.41,1.44,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,17.25,,219.765,1.44,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,17.75,,213.7,2.22,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,17.75,,217.07,2.22,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,18.24,,207.89,1.76,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,18.24,,211.24,1.76,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,18.74,,209.6,2.31,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,18.74,,213.017,2.31,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,19.22,,206.45,2.54,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,19.22,,209.879,2.54,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,19.71,,201.91,2.99,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,19.71,,205.337,2.99,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,20.27,,199.84,3.15,,,,False
