R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
1,152.139433,173.36828,184.051141,194.734002,199.189151,0.357736206,0.0883447992,0,0.553918995,0,189.636842,161.433995,155.698533,184.05096,260.378897
1.0031058,152.243788,173.441063,184.109609,194.778154,199.260211,0.35801789,0.0883239361,0,0.553658174,0,189.665582,161.544726,155.821252,184.116619,260.300041
1.0062213,152.347579,173.512746,184.166789,194.820831,199.329985,0.358300627,0.0883030072,0,0.553396365,0,189.692754,161.654857,155.943517,184.18109,260.217906
1.0093465,152.450797,173.583319,184.22267,194.86202,199.398462,0.35858442,0.0882820129,0,0.553133567,0,189.718345,161.764381,156.065323,184.244363,260.132463
1.0124814,152.553437,173.652769,184.277238,194.901707,199.46563,0.35886927,0.0882609534,0,0.552869777,0,189.742338,161.873292,156.186665,184.306426,260.043678
1.015626,152.655492,173.721083,184.33048,194.939878,199.531474,0.359155179,0.088239829,0,0.552604992,0,189.764719,161.981582,156.307536,184.367266,259.95152
1.0187804,152.75696,173.788251,184.382386,194.976521,199.595985,0.35944216,0.0882186393,0,0.552339201,0,189.785473,162.089249,156.427934,184.426875,259.855954
1.0219446,152.857833,173.854262,184.432942,195.011623,199.659152,0.359730214,0.0881973845,0,0.552072402,0,189.804586,162.196284,156.547853,184.485241,259.756948
1.0251186,152.958104,173.919102,184.482135,195.045168,199.720958,0.360019344,0.0881760649,0,0.551804591,0,189.822042,162.302681,156.667288,184.54235,259.654469
1.0283024,153.057767,173.982758,184.529951,195.077144,199.781394,0.360309552,0.0881546809,0,0.551535767,0,189.837825,162.408433,156.786233,184.598193,259.548483
1.0314962,153.156823,174.045223,184.57638,195.107538,199.840448,0.360600859,0.0881332313,0,0.55126591,0,189.851921,162.51354,156.904688,184.652759,259.438951
1.0346999,153.255259,174.10648,184.621408,195.136335,199.898106,0.360893258,0.0881117171,0,0.550995025,0,189.864314,162.61799,157.022645,184.706035,259.32584
1.0379135,153.353071,174.166516,184.665018,195.163521,199.954354,0.361186752,0.0880901386,0,0.55072311,0,189.874987,162.721777,157.140096,184.758008,259.209118
1.0411371,153.450253,174.225321,184.707202,195.189082,200.009182,0.361481351,0.0880684955,0,0.550450153,0,189.883925,162.824896,157.25704,184.808669,259.088745
1.0443707,153.546798,174.282881,184.747942,195.213003,200.062574,0.361777059,0.088046788,0,0.550176153,0,189.891112,162.92734,157.37347,184.858003,258.964687
1.0476144,153.642704,174.339184,184.787227,195.235271,200.11452,0.362073886,0.0880250157,0,0.549901098,0,189.896531,163.029105,157.489384,184.906001,258.836903
1.0508681,153.737961,174.394215,184.825043,195.255871,200.165003,0.362371827,0.0880031797,0,0.549624993,0,189.900166,163.130181,157.604771,184.952648,258.705362
1.0541319,153.832562,174.447961,184.861374,195.274787,200.214012,0.362670892,0.0879812796,0,0.549347828,0,189.902001,163.230562,157.71963,184.997932,258.570024
1.0574059,153.926506,174.50041,184.896208,195.292006,200.261534,0.362971094,0.0879593149,0,0.549069591,0,189.902017,163.330245,157.833957,185.041842,258.430846
1.0606901,154.019785,174.551548,184.929531,195.307513,200.307554,0.363272434,0.0879372862,0,0.54879028,0,189.9002,163.429222,157.947746,185.084365,258.287792
1.0639844,154.112388,174.601359,184.961326,195.321292,200.352058,0.363574905,0.0879151942,0,0.548509901,0,189.89653,163.527483,158.060987,185.125487,258.140828
1.067289,154.204314,174.649832,184.99158,195.333329,200.395033,0.363878529,0.0878930381,0,0.548228433,0,189.890991,163.625025,158.173681,185.165196,257.989907
1.0706038,154.295553,174.69695,185.020279,195.343607,200.436464,0.364183299,0.0878708188,0,0.547945882,0,189.883566,163.721838,158.285817,185.203478,257.834995
1.0739289,154.3861,174.742701,185.047407,195.352114,200.476338,0.364489226,0.0878485359,0,0.547662238,0,189.874237,163.817917,158.397393,185.240322,257.676048
1.0772644,154.475952,174.78707,185.07295,195.358831,200.514641,0.364796322,0.0878261892,0,0.547377488,0,189.862985,163.913258,158.508405,185.275714,257.513021
1.0806102,154.565097,174.830041,185.096892,195.363744,200.551357,0.36510458,0.0878037797,0,0.54709164,0,189.849793,164.007849,158.618844,185.309639,257.34588
1.0839664,154.65353,174.8716,185.119219,195.366838,200.586473,0.365414012,0.087781307,0,0.546804681,0,189.834643,164.101685,158.728706,185.342086,257.174577
1.0873331,154.741249,174.911733,185.139914,195.368095,200.619973,0.365724629,0.0877587708,0,0.5465166,0,189.817515,164.194762,158.837988,185.37304,256.999068
1.0907102,154.82824,174.950423,185.158962,195.367502,200.651842,0.366036424,0.0877361722,0,0.546227404,0,189.798392,164.287068,158.94668,185.402487,256.819314
1.0940978,154.9145,174.987655,185.176348,195.36504,200.682066,0.366349409,0.0877135108,0,0.54593708,0,189.777254,164.378598,159.054778,185.430414,256.63527
1.0974959,155.000022,175.023413,185.192054,195.360695,200.710628,0.366663587,0.0876907869,0,0.545645626,0,189.754082,164.469344,159.162276,185.456806,256.446891
1.1009045,155.084797,175.057681,185.206065,195.354449,200.737515,0.366978959,0.087668001,0,0.54535304,0,189.728858,164.559299,159.269166,185.481649,256.254134
1.1043238,155.168823,175.090444,185.218365,195.346287,200.76271,0.367295547,0.0876451522,0,0.545059301,0,189.701561,164.648458,159.375449,185.50493,256.056945
1.1077536,155.252086,175.121684,185.228938,195.336192,200.786199,0.367613335,0.087622242,0,0.544764423,0,189.672173,164.736808,159.48111,185.526633,255.85529
1.1111941,155.334585,175.151385,185.237766,195.324146,200.807964,0.367932342,0.0875992695,0,0.544468388,0,189.640672,164.824347,159.586151,185.546744,255.649112
1.1146453,155.416311,175.179532,185.244833,195.310134,200.827991,0.368252573,0.0875762352,0,0.544171192,0,189.607038,164.911066,159.690562,185.565249,255.438365
1.1181073,155.497258,175.206106,185.250122,195.294138,200.846263,0.368574038,0.0875531387,0,0.543872823,0,189.571252,164.996958,159.794341,185.582133,255.222998
1.1215799,155.577414,175.231089,185.253615,195.276141,200.862763,0.368896721,0.0875299818,0,0.543573297,0,189.533293,165.082011,159.897474,185.597379,255.002974
1.1250634,155.656779,175.254466,185.255296,195.256126,200.877477,0.369220652,0.0875067629,0,0.543272585,0,189.49314,165.166224,159.999963,185.610974,254.778229
1.1285577,155.735339,175.276217,185.255146,195.234075,200.890386,0.369545825,0.087483483,0,0.542970692,0,189.450771,165.249584,160.101798,185.622902,254.548719
1.1320628,155.813089,175.296325,185.253148,195.209972,200.901473,0.369872241,0.0874601426,0,0.542667616,0,189.406167,165.332084,160.202972,185.633147,254.314395
1.1355788,155.890022,175.314771,185.249285,195.183798,200.910723,0.370199913,0.0874367414,0,0.542363346,0,189.359305,165.413717,160.30348,185.641694,254.075203
1.1391058,155.966132,175.331538,185.243537,195.155536,200.918118,0.370528852,0.0874132791,0,0.542057869,0,189.310162,165.494477,160.403319,185.648527,253.831083
1.1426436,156.041407,175.346605,185.235886,195.125168,200.923641,0.370859041,0.0873897575,0,0.541751202,0,189.258719,165.57435,160.502474,185.65363,253.582
1.1461925,156.115843,175.359954,185.226315,195.092676,200.927274,0.371190511,0.0873661751,0,0.541443314,0,189.204951,165.653334,160.600948,185.656987,253.32788
1.1497524,156.189433,175.371566,185.214803,195.058041,200.928999,0.371523255,0.0873425328,0,0.541134212,0,189.148837,165.731419,160.698729,185.658581,253.068678
1.1533234,156.262166,175.381421,185.201333,195.021246,200.9288,0.371857285,0.0873188306,0,0.540823885,0,189.090353,165.808596,160.795814,185.658397,252.804333
1.1569054,156.334034,175.389499,185.185886,194.982273,200.926658,0.372192592,0.0872950695,0,0.540512338,0,189.029477,165.884855,160.892192,185.656418,252.534799
1.1604986,156.405033,175.395779,185.16844,194.941101,200.922554,0.372529199,0.0872712485,0,0.540199552,0,188.966185,165.960191,160.987861,185.652626,252.260005
1.1641029,156.47515,175.400241,185.148978,194.897715,200.916471,0.372867099,0.087247369,0,0.539885532,0,188.900455,166.034592,161.08281,185.647005,251.979903
1.1677185,156.544383,175.402864,185.127479,194.852093,200.90839,0.373206311,0.0872234298,0,0.539570259,0,188.832259,166.108054,161.177037,185.639538,251.694422
1.1713452,156.612716,175.403627,185.103923,194.804218,200.898292,0.37354682,0.087199433,0,0.539253747,0,188.761578,166.180562,161.270529,185.630207,251.40352
1.1749833,156.680149,175.402508,185.078289,194.75407,200.886156,0.373888657,0.0871753769,0,0.538935967,0,188.688383,166.252115,161.363287,185.618994,251.107114
1.1786326,156.746668,175.399485,185.050558,194.701631,200.871967,0.374231803,0.0871512633,0,0.538616934,0,188.612653,166.322697,161.455297,185.605883,250.805162
1.1822932,156.812265,175.394536,185.020709,194.646881,200.855703,0.374576271,0.087127092,0,0.538296637,0,188.534362,166.392302,161.546554,185.590855,250.497596
1.1859653,156.876935,175.387639,184.98872,194.589801,200.837345,0.374922083,0.0871028622,0,0.537975055,0,188.453482,166.460923,161.637055,185.573892,250.184337
1.1896487,156.940667,175.378769,184.95457,194.530371,200.816873,0.37526922,0.0870785758,0,0.537652204,0,188.369991,166.528548,161.726787,185.554976,249.865341
1.1933436,157.003453,175.367905,184.918238,194.468572,200.794267,0.375617705,0.0870542319,0,0.537328063,0,188.28386,166.59517,161.815748,185.534088,249.540528
1.1970499,157.065283,175.355021,184.879703,194.404385,200.769508,0.37596753,0.0870298316,0,0.537002639,0,188.195066,166.660777,161.903926,185.511211,249.209842
1.2007678,157.12615,175.340094,184.838941,194.337787,200.742573,0.376318715,0.0870053741,0,0.536675911,0,188.103578,166.725363,161.991318,185.486323,248.873201
1.2044972,157.186044,175.3231,184.795931,194.268762,200.713444,0.376671254,0.0869808606,0,0.536347885,0,188.009373,166.788916,162.077914,185.459408,248.530547
1.2082381,157.244956,175.304013,184.750651,194.19729,200.682099,0.377025148,0.0869562917,0,0.53601856,0,187.912425,166.851427,162.163705,185.430445,248.181815
1.2119908,157.30288,175.282806,184.703076,194.123345,200.648516,0.377380429,0.0869316658,0,0.535687906,0,187.812698,166.91289,162.24869,185.399414,247.826907
1.215755,157.359803,175.259457,184.653186,194.046916,200.612676,0.377737068,0.0869069855,0,0.535355946,0,187.710175,166.97329,162.332855,185.366298,247.465783
1.219531,157.415718,175.233936,184.600955,193.967974,200.574555,0.378095098,0.0868822493,0,0.535022653,0,187.604818,167.032621,162.416197,185.331074,247.098343
1.2233186,157.470614,175.206218,184.546361,193.886504,200.534133,0.378454501,0.0868574592,0,0.53468804,0,187.496607,167.090871,162.498703,185.293724,246.724536
1.2271181,157.524484,175.176275,184.489379,193.802483,200.491386,0.378815306,0.0868326135,0,0.53435208,0,187.385505,167.148032,162.580372,185.254226,246.344259
1.2309293,157.577316,175.14408,184.429986,193.715891,200.446293,0.379177498,0.0868077144,0,0.534014787,0,187.271489,167.204092,162.66119,185.21256,245.957458
1.2347524,157.629105,175.109604,184.368156,193.626708,200.398832,0.379541098,0.0867827608,0,0.533676142,0,187.154525,167.259044,162.741154,185.168706,245.564038
1.2385874,157.679836,175.072818,184.303864,193.534911,200.348978,0.379906106,0.0867577536,0,0.533336141,0,187.034583,167.312875,162.820254,185.122641,245.163921
1.2424342,157.729502,175.033693,184.237088,193.440483,200.296711,0.380272515,0.0867326938,0,0.532994791,0,186.911637,167.365575,162.89848,185.074346,244.75704
1.2462931,157.778094,174.992198,184.167798,193.343397,200.242004,0.380640356,0.0867075801,0,0.532652064,0,186.785648,167.417136,162.975829,185.023797,244.343284
1.2501639,157.825858,174.952106,184.100726,193.249346,200.190246,0.381009612,0.0866824143,0,0.532307974,0,186.662027,167.467818,163.053993,184.975972,243.936478
1.2540467,157.878397,174.996232,184.139365,193.282499,200.259143,0.381380293,0.0866571965,0,0.531962511,0,186.659081,167.523566,163.170047,185.039633,243.839101
1.2579416,157.929884,175.038901,184.176517,193.314134,200.326726,0.381752411,0.0866319266,0,0.531615662,0,186.654303,167.578199,163.285527,185.10208,243.738417
1.2618485,157.980309,175.080096,184.212167,193.344239,200.392983,0.382125958,0.0866066057,0,0.531267436,0,186.647677,167.631704,163.400424,185.163301,243.634396
1.2657676,158.029664,175.119804,184.246303,193.372801,200.457901,0.382500955,0.0865812333,0,0.530917811,0,186.639186,167.684075,163.514739,185.223286,243.527001
1.2696989,158.077939,175.158005,184.278907,193.399809,200.521469,0.382877404,0.0865558099,0,0.530566786,0,186.628812,167.735299,163.628462,185.282023,243.4162
