R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
1.6322571,159.093068,172.205875,182.076932,191.947989,242.332269,0.7,0.03,0.1,0.15,0.02,181.721718,168.812445,171.321955,187.518238,227.371241
1.6373266,159.083774,172.189523,182.037178,191.884833,242.119309,0.7,0.03,0.1,0.15,0.02,181.65332,168.802583,171.406602,187.544584,227.171429
1.6424119,159.072856,172.171052,181.995265,191.819478,241.901824,0.7,0.03,0.1,0.15,0.02,181.582499,168.790998,171.490344,187.569361,226.967371
1.647513,159.060298,172.150436,181.951174,191.751912,241.679769,0.7,0.03,0.1,0.15,0.02,181.509233,168.777672,171.573171,187.592554,226.759025
1.6526299,159.046085,172.127646,181.904884,191.682121,241.453097,0.7,0.03,0.1,0.15,0.02,181.433499,168.762591,171.655074,187.614149,226.546347
1.6577627,159.0302,172.102653,181.856372,191.61009,241.221754,0.7,0.03,0.1,0.15,0.02,181.355271,168.745736,171.736045,187.634131,226.329287
1.6629115,159.012629,172.075429,181.805616,191.535804,240.985689,0.7,0.03,0.1,0.15,0.02,181.274524,168.727091,171.816077,187.652486,226.107796
1.6680762,158.993356,172.045942,181.752596,191.459249,240.744855,0.7,0.03,0.1,0.15,0.02,181.191235,168.706641,171.895159,187.669197,225.881831
1.673257,158.972364,172.014163,181.697287,191.380412,240.499196,0.7,0.03,0.1,0.15,0.02,181.105377,168.684366,171.973284,187.684249,225.651338
1.6784539,158.949636,171.98006,181.639668,191.299276,240.24866,0.7,0.03,0.1,0.15,0.02,181.016924,168.66025,172.050442,187.697628,225.416269
1.6836669,158.925157,171.943601,181.579716,191.21583,239.993195,0.7,0.03,0.1,0.15,0.02,180.925851,168.634275,172.126625,187.709318,225.176576
1.6888962,158.898909,171.904754,181.517406,191.130058,239.73274,0.7,0.03,0.1,0.15,0.02,180.83213,168.606424,172.201824,187.719303,224.932201
1.6941416,158.870877,171.863487,181.452718,191.041948,239.467251,0.7,0.03,0.1,0.15,0.02,180.735739,168.576679,172.276028,187.727567,224.683103
1.6994034,158.841041,171.819765,181.385624,190.951483,239.196661,0.7,0.03,0.1,0.15,0.02,180.636645,168.545021,172.349232,187.734095,224.429218
1.7046815,158.809387,171.773554,181.316102,190.858651,238.920919,0.7,0.03,0.1,0.15,0.02,180.534824,168.511433,172.421423,187.738869,224.1705
1.7099759,158.775897,171.72482,181.24413,190.763441,238.63997,0.7,0.03,0.1,0.15,0.02,180.43025,168.475897,172.492591,187.741875,223.906896
1.7152869,158.740551,171.673525,181.169679,190.665833,238.353744,0.7,0.03,0.1,0.15,0.02,180.32289,168.438391,172.562732,187.743094,223.638341
1.7206143,158.703333,171.619634,181.092727,190.565819,238.062192,0.7,0.03,0.1,0.15,0.02,180.21272,168.3989,172.631831,187.742511,223.364789
1.7259583,158.664225,171.56311,181.013246,190.463382,237.765249,0.7,0.03,0.1,0.15,0.02,180.099709,168.357402,172.699881,187.740109,223.086178
1.7313188,158.623208,171.503916,180.931214,190.358513,237.462857,0.7,0.03,0.1,0.15,0.02,179.98383,168.31388,172.766872,187.735871,222.802455
1.7366961,158.580264,171.44201,180.846602,190.251193,237.154943,0.7,0.03,0.1,0.15,0.02,179.86505,168.268312,172.832795,187.729778,222.513551
1.74209,158.535374,171.377356,180.759385,190.141414,236.841457,0.7,0.03,0.1,0.15,0.02,179.743343,168.22068,172.897639,187.721815,222.219419
1.7475006,158.488521,171.309912,180.669537,190.029163,236.522331,0.7,0.03,0.1,0.15,0.02,179.618678,168.170964,172.961394,187.711964,221.919995
1.7529281,158.478978,171.294406,180.638886,189.983367,236.321047,0.7,0.03,0.1,0.15,0.02,179.562855,168.160838,173.04184,187.741707,221.731138
1.7583724,158.501558,171.323909,180.659308,189.994707,236.221587,0.7,0.03,0.1,0.15,0.02,179.566452,168.184798,173.1366,187.805543,221.637819
1.7638337,158.522817,171.351893,180.678166,190.004438,236.118872,0.7,0.03,0.1,0.15,0.02,179.568347,168.207355,173.230522,187.868139,221.541445
1.7693119,158.542738,171.378341,180.695444,190.012548,236.012869,0.7,0.03,0.1,0.15,0.02,179.568525,168.228494,173.323596,187.929485,221.441986
1.7748071,158.561312,171.403238,180.711131,190.019024,235.903546,0.7,0.03,0.1,0.15,0.02,179.566971,168.248202,173.415816,187.989569,221.339413
1.7803194,158.578526,171.426564,180.725208,190.023853,235.79087,0.7,0.03,0.1,0.15,0.02,179.563666,168.266468,173.507175,188.048379,221.233693
1.7858488,158.594366,171.448303,180.737663,190.027023,235.674807,0.7,0.03,0.1,0.15,0.02,179.558596,168.283276,173.597662,188.105904,221.124795
1.7913954,158.608821,171.468439,180.74848,190.028521,235.555322,0.7,0.03,0.1,0.15,0.02,179.551744,168.298614,173.687272,188.162132,221.012687
1.7969592,158.621879,171.486951,180.757642,190.028334,235.432383,0.7,0.03,0.1,0.15,0.02,179.543092,168.312469,173.775995,188.217051,220.897338
1.8025403,158.633523,171.503822,180.765136,190.026449,235.305952,0.7,0.03,0.1,0.15,0.02,179.532624,168.324825,173.863823,188.27065,220.778713
1.8081387,158.643745,171.519034,180.770945,190.022855,235.175998,0.7,0.03,0.1,0.15,0.02,179.520324,168.335671,173.950748,188.322915,220.656782
1.8137545,158.652527,171.532568,180.775052,190.017537,235.042483,0.7,0.03,0.1,0.15,0.02,179.506173,168.34499,174.036761,188.373835,220.53151
1.8193877,158.659859,171.544404,180.777443,190.010482,234.905372,0.7,0.03,0.1,0.15,0.02,179.490154,168.35277,174.121855,188.423398,220.402864
1.8250385,158.665727,171.554525,180.778102,190.001678,234.764625,0.7,0.03,0.1,0.15,0.02,179.47225,168.358996,174.206021,188.471591,220.270806
1.8307068,158.670116,171.562909,180.77701,189.991112,234.620208,0.7,0.03,0.1,0.15,0.02,179.452442,168.363653,174.28925,188.518402,220.135305
1.8363927,158.673013,171.569538,180.774153,189.978769,234.472083,0.7,0.03,0.1,0.15,0.02,179.430713,168.366727,174.371534,188.563817,219.996325
1.8420962,158.674404,171.574391,180.769514,189.964637,234.320214,0.7,0.03,0.1,0.15,0.02,179.407045,168.368203,174.452863,188.607824,219.853832
1.8478175,158.674275,171.577448,180.763075,189.948703,234.164557,0.7,0.03,0.1,0.15,0.02,179.381419,168.368066,174.53323,188.65041,219.707785
