dataset,source_paper,tracer,method,R_kpc,R_err_kpc,vc_kms,sigma_v_kms,mass_msun,sigma_mass_msun,kind,plotted,used_in_fit,note
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",23.36,,191.53,33.1,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"Wang2026_rotation_curve","Wang et al. 2026","Gaia phase-space spiral","circular-speed inference",24.68,,186.64,36.22,,,"direct_rotation",true,true,"Original Fig. 1 radial data; total uncertainty used in fits."
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=16",2.6308355,,207.46602,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=17",2.7741915,,209.15608,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=18",2.9251872,,210.11102,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=17",3.0750271,,208.22419,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=18",3.2236205,,208.85927,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=18",3.3751878,,210.82426,3.090813,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=18",3.5253328,,216.13951,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=18",3.6739939,,217.7249,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=19",3.8251704,,219.5895,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=18",3.9747178,,222.35005,3.1600179,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=19",4.1224835,,232.70112,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=19",4.2723194,,234.83476,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=20",4.4240672,,233.50769,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=20",4.5774499,,237.20678,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=20",4.7285047,,232.30301,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=20",4.8771077,,233.11028,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=21",5.0267779,,237.14668,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=21",5.1773263,,235.6166,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=21",5.3249208,,232.31737,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=22",5.4728927,,233.32324,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=23",5.6242448,,235.30322,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=23",5.7751929,,237.01943,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=24",5.925357,,240.47932,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=24",6.0743689,,244.2095,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=26",6.2247831,,247.6899,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=26",6.3759227,,250.96705,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=27",6.5242473,,249.43311,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=29",6.6745386,,240.80292,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=30",6.8256111,,241.65422,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=32",6.976095,,242.62886,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=34",7.1268086,,242.41113,3,,,"direct_rotation",true,true,""
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=36",7.2757353,,241.14901,3,,,"direct_rotation",true,true,""
