R_kpc,Baryonic_target_p5,Baryonic_target_p16,Baryonic_target_p50,Baryonic_target_p84,Baryonic_target_p95,Baryonic target_min,Baryonic target_max
1.5436428,167.193277,172.218313,182.039624,194.835592,211.895901,167.193277,211.895901
1.5484372,167.238276,172.232524,182.038885,194.684805,211.8287,167.238276,211.8287
1.5532464,167.281935,172.245057,182.036325,194.532445,211.758902,167.281935,211.758902
1.5580705,167.32424,172.255893,182.031926,194.378513,211.686485,167.32424,211.686485
1.5629097,167.365178,172.265013,182.025673,194.223,211.611422,167.365178,211.611422
1.5677638,167.404729,172.272397,182.017544,194.065915,211.533695,167.404729,211.533695
1.5726331,167.44288,172.278024,182.007524,193.907249,211.453275,167.44288,211.453275
1.5775174,167.46758,172.281807,181.995593,193.747008,211.370143,167.46758,211.370143
1.5824169,167.473684,172.283668,181.981731,193.585186,211.284272,167.473684,211.284272
1.5873317,167.478084,172.283669,181.965921,193.421784,211.195638,167.478084,211.195638
1.5922617,167.480757,172.281785,181.949396,193.276665,211.104218,167.480757,211.104218
1.597207,167.481684,172.277995,181.933653,193.21271,211.009987,167.481684,211.009987
1.6021677,167.480847,172.272262,181.915913,193.146625,210.912921,167.480847,210.912921
1.6071438,167.478224,172.264455,181.896304,193.077888,210.812992,167.478224,210.812992
1.6121354,167.473794,172.254527,181.874834,193.00639,210.710177,167.473794,210.710177
1.6171424,167.467536,172.242459,181.851479,192.932136,210.604452,167.467536,210.604452
1.622165,167.459429,172.228227,181.826212,192.855126,210.495789,167.459429,210.495789
1.6272032,167.449453,172.21181,181.799012,192.775363,210.384162,167.449453,210.384162
1.6322571,167.437582,172.193182,181.769851,192.692848,210.269545,167.437582,210.269545
1.6373266,167.423796,172.172323,181.738706,192.607588,210.151915,167.423796,210.151915
1.6424119,167.408072,172.149207,181.70555,192.51958,210.03124,167.408072,210.03124
1.647513,167.390386,172.12381,181.670357,192.428829,209.907496,167.390386,209.907496
1.6526299,167.370715,172.096108,181.633103,192.335339,209.780658,167.370715,209.780658
1.6577627,167.349034,172.066074,181.593761,192.239111,209.650695,167.349034,209.650695
1.6629115,167.32532,172.033685,181.552304,192.140148,209.51758,167.32532,209.51758
1.6680762,167.299547,171.998911,181.508708,192.038452,209.381288,167.299547,209.381288
1.673257,167.271691,171.961728,181.462943,191.934028,209.241788,167.271691,209.241788
1.6784539,167.241724,171.922107,181.414985,191.826876,209.099052,167.241724,209.099052
1.6836669,167.209621,171.880019,181.364806,191.717002,208.953054,167.209621,208.953054
1.6888962,167.175356,171.835436,181.312377,191.604407,208.803761,167.175356,208.803761
1.6941416,167.138902,171.788331,181.257674,191.489097,208.651149,167.138902,208.651149
1.6994034,167.100229,171.738671,181.200666,191.371071,208.495184,167.100229,208.495184
1.7046815,167.059311,171.686428,181.141325,191.250631,208.335839,167.059311,208.335839
1.7099759,167.016121,171.631569,181.079627,191.1466,208.173088,167.016121,208.173088
1.7152869,166.970625,171.574062,181.015538,191.039901,208.006892,166.970625,208.006892
1.7206143,166.922797,171.513876,180.949033,190.930538,207.837227,166.922797,207.837227
1.7259583,166.872606,171.450977,180.88008,190.818507,207.664061,166.872606,207.664061
1.7313188,166.820022,171.385332,180.808653,190.703811,207.487365,166.820022,207.487365
1.7366961,166.765011,171.316904,180.734721,190.586444,207.307102,166.765011,207.307102
1.74209,166.707544,171.24566,180.658255,190.46641,207.123248,166.707544,207.123248
1.7475006,166.647588,171.171563,180.579225,190.34371,206.93577,166.647588,206.93577
1.7529281,166.63425,171.149155,180.559396,190.287668,206.833432,166.63425,206.833432
1.7583724,166.661236,171.171509,180.590674,190.288887,206.804482,166.661236,206.804482
1.7638337,166.686774,171.192251,180.620479,190.288294,206.773323,166.686774,206.773323
1.7693119,166.710849,171.211368,180.64879,190.285886,206.739937,166.710849,206.739937
1.7748071,166.733447,171.228847,180.675594,190.281657,206.704305,166.733447,206.704305
1.7803194,166.75455,171.244672,180.700868,190.275605,206.666405,166.75455,206.666405
1.7858488,166.774144,171.258828,180.724598,190.388167,206.626217,166.774144,206.626217
1.7913954,166.792214,171.271303,180.746764,190.54284,206.583721,166.792214,206.583721
1.7969592,166.808743,171.282078,180.767345,190.695205,206.538897,166.808743,206.538897
1.8025403,166.823713,171.291138,180.786327,190.845196,206.491723,166.823713,206.491723
