draw_id,draw_label,s
1,b1,2.1621057
2,b2,2.1565054
3,b3,2.1846454
4,b4,2.1937145
5,b5,2.1658657
6,b6,2.1862284
7,b7,2.1856649
8,b8,2.2030445
9,b9,2.1803142
10,b10,2.198769
11,b11,2.1713528
12,b12,2.2120298
13,b13,2.1858844
14,b14,2.2261377
15,b15,2.2302558
16,b16,2.1903933
17,b17,2.2346894
18,b18,2.2144859
19,b19,2.2573404
20,b20,2.2418399
21,b21,2.231804
22,b22,2.2404961
23,b23,2.27131
24,b24,2.2377517
25,b25,2.2302213
26,b26,2.265659
27,b27,2.2620526
28,b28,2.2581673
29,b29,2.2886732
30,b30,2.2647815
31,b31,2.2941208
32,b32,2.2957569
33,b33,2.3157397
34,b34,2.2590124
35,b35,2.2645239
36,b36,2.3002946
37,b37,2.3127179
38,b38,2.2988343
39,b39,2.2720835
40,b40,2.3319623
41,b41,2.325066
42,b42,2.3122727
43,b43,2.3065922
44,b44,2.3292874
45,b45,2.3314746
46,b46,2.3539595
47,b47,2.3629863
48,b48,2.3620741
49,b49,2.3720813
50,b50,2.3251624
51,b51,2.3835863
52,b52,2.4027596
53,b53,2.3626219
54,b54,2.4008587
55,b55,2.4043732
56,b56,2.3864433
57,b57,2.4147563
58,b58,2.3700949
59,b59,2.388403
60,b60,2.409374
61,b61,2.3835117
62,b62,2.4403069
63,b63,2.4428425
64,b64,2.3947887
65,b65,2.4405925
66,b66,2.4686673
67,b67,2.4224333
68,b68,2.4417469
69,b69,2.4739919
70,b70,2.4815643
71,b71,2.4440092
72,b72,2.4746889
73,b73,2.4742771
74,b74,2.5031987
75,b75,2.4549346
76,b76,2.4888385
77,b77,2.5214496
78,b78,2.4795448
79,b79,2.4964113
80,b80,2.4845523
81,b81,2.5098784
82,b82,2.5003541
83,b83,2.4922557
84,b84,2.4690802
85,b85,2.5328609
86,b86,2.5243789
87,b87,2.4885896
88,b88,2.5639805
89,b89,2.5049284
90,b90,2.5141868
91,b91,2.5159133
92,b92,2.5662679
93,b93,2.5269347
94,b94,2.549763
95,b95,2.5287008
96,b96,2.5099083
97,b97,2.5974876
98,b98,2.5240733
99,b99,2.5913449
100,b100,2.6040473
