draw_id,draw_label,alpha,mu
1,b1,2.1289729,0.30599144
2,b2,2.3082952,0.30160298
3,b3,1.9113871,0.34902616
4,b4,1.8319021,0.36444277
5,b5,2.2110468,0.27696044
6,b6,1.9394357,0.33334238
7,b7,1.8328795,0.40000836
8,b8,2.0338975,0.29443621
9,b9,2.2092006,0.26944336
10,b10,2.0485881,0.29018544
11,b11,2.0128446,0.3550641
12,b12,1.9753707,0.29335776
13,b13,2.0153057,0.3144801
14,b14,1.9876864,0.27885649
15,b15,1.929918,0.28654574
16,b16,1.9783646,0.31006244
17,b17,1.9020407,0.29004643
18,b18,1.8561635,0.31789142
19,b19,1.7926501,0.30003882
20,b20,1.8061546,0.31610947
21,b21,1.8831677,0.30107256
22,b22,1.9107837,0.28491407
23,b23,1.880339,0.27188128
24,b24,1.7915877,0.32281768
25,b25,2.0276244,0.26756142
26,b26,1.7400442,0.31007928
27,b27,1.8526791,0.27747674
28,b28,1.8732787,0.27861141
29,b29,1.7207178,0.29417353
30,b30,1.7391215,0.31426235
31,b31,1.6842371,0.29302406
32,b32,1.7706317,0.27398618
33,b33,1.6815381,0.27930024
34,b34,1.7881546,0.2948036
35,b35,1.8771396,0.27106084
36,b36,1.8678743,0.24976407
37,b37,1.8092179,0.25355904
38,b38,1.7666867,0.26656911
39,b39,1.7129919,0.30112061
40,b40,1.6435185,0.27681446
41,b41,1.6241704,0.28374277
42,b42,1.6421615,0.29131878
43,b43,1.6900049,0.28317263
44,b44,1.5189965,0.31529493
45,b45,1.5971454,0.28788775
46,b46,1.6184613,0.26410289
47,b47,1.5941003,0.26821687
48,b48,1.7642205,0.22840639
49,b49,1.7273926,0.22788371
50,b50,1.6514892,0.27481449
51,b51,1.6106537,0.24545315
52,b52,1.5592126,0.2445771
53,b53,1.6102555,0.25523291
54,b54,1.5202744,0.25008696
55,b55,1.5935557,0.23365335
56,b56,1.4949448,0.27495858
57,b57,1.4751,0.25566806
58,b58,1.6500325,0.24244516
59,b59,1.6241145,0.23741399
60,b60,1.4844118,0.2574713
61,b61,1.5207197,0.26187351
62,b62,1.3435891,0.26977409
63,b63,1.4106673,0.25201992
64,b64,1.5754635,0.24000403
65,b65,1.5193256,0.2279701
66,b66,1.4546472,0.22575005
67,b67,1.4766076,0.25216784
68,b68,1.4863453,0.2313287
69,b69,1.413883,0.22925852
70,b70,1.3857252,0.2326872
71,b71,1.4396766,0.24046958
72,b72,1.4827706,0.21210448
73,b73,1.4396114,0.22325508
74,b74,1.4164581,0.21453852
75,b75,1.3552864,0.25420148
76,b76,1.4614839,0.2147101
77,b77,1.3476724,0.21854407
78,b78,1.295035,0.25291405
79,b79,1.2475207,0.25807956
80,b80,1.4251558,0.22752158
81,b81,1.3814417,0.22377056
82,b82,1.3417611,0.23800675
83,b83,1.3566882,0.23661413
84,b84,1.3601455,0.24744689
85,b85,1.4458322,0.19270691
86,b86,1.4031817,0.20443897
87,b87,1.2939935,0.25620076
88,b88,1.237646,0.21945649
89,b89,1.3859573,0.22558405
90,b90,1.3669862,0.21977773
91,b91,1.3380701,0.22350252
92,b92,1.1685228,0.24335272
93,b93,1.247135,0.24793146
94,b94,1.2388802,0.23346382
95,b95,1.3787324,0.20783545
96,b96,1.401483,0.21945409
97,b97,1.3152997,0.19279879
98,b98,1.2952786,0.2247913
99,b99,1.1723877,0.22300191
100,b100,1.1884901,0.22192109
