R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
1,152.139433,173.807879,185.19124,196.574602,197.435657,0.84237046,0.15762954,0,0,189.636842,161.433995,155.698533,184.05096
1.0031058,152.243788,173.881856,185.236074,196.590292,197.465579,0.842483174,0.157516826,0,0,189.665582,161.544726,155.821252,184.116619
1.0062213,152.347579,173.954695,185.279472,196.604248,197.493869,0.842595817,0.157404183,0,0,189.692754,161.654857,155.943517,184.18109
1.0093465,152.450797,174.026384,185.321421,196.616457,197.520512,0.842708387,0.157291613,0,0,189.718345,161.764381,156.065323,184.244363
1.0124814,152.553437,174.096911,185.361906,196.626901,197.545492,0.842820882,0.157179118,0,0,189.742338,161.873292,156.186665,184.306426
1.015626,152.655492,174.166262,185.400913,196.635565,197.568793,0.842933298,0.157066702,0,0,189.764719,161.981582,156.307536,184.367266
1.0187804,152.75696,174.234428,185.43843,196.642432,197.590401,0.843045637,0.156954363,0,0,189.785473,162.089249,156.427934,184.426875
1.0219446,152.857833,174.301396,185.474442,196.647487,197.6103,0.843157896,0.156842104,0,0,189.804586,162.196284,156.547853,184.485241
1.0251186,152.958104,174.367154,185.508935,196.650715,197.628473,0.843270072,0.156729928,0,0,189.822042,162.302681,156.667288,184.54235
1.0283024,153.057767,174.431689,185.541893,196.652097,197.644906,0.843382164,0.156617836,0,0,189.837825,162.408433,156.786233,184.598193
1.0314962,153.156823,174.494993,185.573305,196.651617,197.659581,0.843494174,0.156505826,0,0,189.851921,162.51354,156.904688,184.652759
1.0346999,153.255259,174.557049,185.603155,196.649261,197.672484,0.843606098,0.156393902,0,0,189.864314,162.61799,157.022645,184.706035
1.0379135,153.353071,174.617845,185.631427,196.645009,197.683596,0.843717932,0.156282068,0,0,189.874987,162.721777,157.140096,184.758008
1.0411371,153.450253,174.67737,185.658108,196.638845,197.692901,0.843829677,0.156170323,0,0,189.883925,162.824896,157.25704,184.808669
1.0443707,153.546798,174.73561,185.683182,196.630753,197.700384,0.84394133,0.15605867,0,0,189.891112,162.92734,157.37347,184.858003
1.0476144,153.642704,174.792553,185.706634,196.620714,197.706026,0.844052894,0.155947106,0,0,189.896531,163.029105,157.489384,184.906001
1.0508681,153.737961,174.848185,185.728448,196.608712,197.70981,0.84416436,0.15583564,0,0,189.900166,163.130181,157.604771,184.952648
1.0541319,153.832562,174.902492,185.748611,196.594729,197.711721,0.84427573,0.15572427,0,0,189.902001,163.230562,157.71963,184.997932
1.0574059,153.926506,174.955463,185.767104,196.578745,197.711737,0.844387006,0.155612994,0,0,189.902017,163.330245,157.833957,185.041842
1.0606901,154.019785,175.007084,185.783915,196.560746,197.709846,0.844498183,0.155501817,0,0,189.9002,163.429222,157.947746,185.084365
1.0639844,154.112388,175.057339,185.799024,196.54071,197.706025,0.844609256,0.155390744,0,0,189.89653,163.527483,158.060987,185.125487
1.067289,154.204314,175.106215,185.812418,196.51862,197.700258,0.84472023,0.15527977,0,0,189.890991,163.625025,158.173681,185.165196
1.0706038,154.295553,175.153699,185.824079,196.49446,197.692528,0.844831097,0.155168903,0,0,189.883566,163.721838,158.285817,185.203478
1.0739289,154.3861,175.199776,185.833992,196.468209,197.682815,0.844941859,0.155058141,0,0,189.874237,163.817917,158.397393,185.240322
1.0772644,154.475952,175.244433,185.84214,196.439847,197.6711,0.845052516,0.154947484,0,0,189.862985,163.913258,158.508405,185.275714
1.0806102,154.565097,175.287654,185.848506,196.409357,197.657366,0.845163063,0.154836937,0,0,189.849793,164.007849,158.618844,185.309639
1.0839664,154.65353,175.329424,185.853072,196.376721,197.641593,0.845273499,0.154726501,0,0,189.834643,164.101685,158.728706,185.342086
1.0873331,154.741249,175.36973,185.855823,196.341916,197.62376,0.845383825,0.154616175,0,0,189.817515,164.194762,158.837988,185.37304
1.0907102,154.82824,175.408555,185.85674,196.304925,197.603851,0.845494036,0.154505964,0,0,189.798392,164.287068,158.94668,185.402487
1.0940978,154.9145,175.445885,185.855806,196.265728,197.581844,0.845604132,0.154395868,0,0,189.777254,164.378598,159.054778,185.430414
1.0974959,155.000022,175.481703,185.853004,196.224304,197.557719,0.84571411,0.15428589,0,0,189.754082,164.469344,159.162276,185.456806
1.1009045,155.084797,175.515995,185.848315,196.180636,197.531457,0.845823967,0.154176033,0,0,189.728858,164.559299,159.269166,185.481649
1.1043238,155.168823,175.548745,185.841722,196.1347,197.503038,0.845933708,0.154066292,0,0,189.701561,164.648458,159.375449,185.50493
1.1077536,155.252086,175.579935,185.833207,196.086479,197.472441,0.846043322,0.153956678,0,0,189.672173,164.736808,159.48111,185.526633
1.1111941,155.334585,175.609552,185.82275,196.035949,197.439645,0.846152814,0.153847186,0,0,189.640672,164.824347,159.586151,185.546744
1.1146453,155.416311,175.637577,185.810333,195.983089,197.404627,0.846262181,0.153737819,0,0,189.607038,164.911066,159.690562,185.565249
1.1181073,155.497258,175.663995,185.795938,195.927881,197.36737,0.846371423,0.153628577,0,0,189.571252,164.996958,159.794341,185.582133
1.1215799,155.577414,175.688787,185.779545,195.870303,197.32785,0.84648053,0.15351947,0,0,189.533293,165.082011,159.897474,185.597379
1.1250634,155.656779,175.71194,185.761136,195.810332,197.286045,0.846589511,0.153410489,0,0,189.49314,165.166224,159.999963,185.610974
1.1285577,155.735339,175.733432,185.740689,195.747947,197.241934,0.846698358,0.153301642,0,0,189.450771,165.249584,160.101798,185.622902
